"HYBAS_ID","Australasian.Darter","Australian.Pelican","Grey.Teal","Intermediate.Egret","Australasian.Grebe","Azure.Kingfisher","Caspian.Tern","Eastern.Reef.Egret","Green.Pygmy.goose","Lesser.Crested.Tern","Little.Egret","Little.Tern","Nankeen.Night.Heron","Pacific.Black.Duck","Pied.Cormorant","Pied.Heron","Pink.eared.Duck","Royal.Spoonbill","Striated.Heron","Wandering.Whistling.Duck","Whiskered.Tern","White.necked.Heron","Yellow.billed.Spoonbill","White.winged.Black.Tern","Hardhead","Little.Pied.Cormorant","Little.Black.Cormorant","Great.billed.Heron","Black.Swan","Chestnut.Teal","Radjah.Shelduck","Dusky.Moorhen","Eurasian.Coot","Great.Cormorant","Hoary.headed.Grebe","Magpie.Goose","Black.Bittern","Little.Kingfisher","White.browed.Crake","Cotton.Pygmy.goose","Northern.Mallard","Australasian.Shoveler","Australasian.Bittern","Agricultural_Water_Stress","Aquaculture_Pressure","Consumptive_Water_Loss","Cropland","Fishing_Pressure","Human_Water_Stress","Impervious_Surfaces","Livestock_Density","Mercury_Deposition","Nitrogen_Loading","Organic_Loading","Pesticide_Loading","Phosphorus_Loading","Potential_Acidification","Sediment_Loading","Soil_Salinisation","Thermal_Alteration","Wetland_Disconnectivity","ele_mt_sav","tmp_dc_syr","pre_mm_syr","ire_pc_sse","X","Y"
5080070400,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0.638899981975555,0.469199985265732,0.831399977207184,0.294299989938736,0,0.953499972820282,0.964299976825714,0,0.837800025939941,0.593800008296967,0.723800003528595,0.70440000295639,0.908900022506714,0,0.517799973487854,0,0.199000000953674,0.139500007033348,29,200,1291,2,153.220603025323,-27.5410168320715
5080070440,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638899981975555,0.469199985265732,0.831399977207184,0.294299989938736,0,0.953499972820282,0.964299976825714,0,0.837800025939941,0.593800008296967,0.723800003528595,0.70440000295639,0.908900022506714,0,0.517799973487854,0,0.199000000953674,0.139500007033348,20,200,1326,2,153.279945101646,-27.6839796632236
5080070450,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0.638899981975555,0.469199985265732,0.831399977207184,0.294299989938736,0,0.953499972820282,0.964299976825714,0,0.837800025939941,0.593800008296967,0.723800003528595,0.70440000295639,0.908900022506714,0,0.517799973487854,0,0.199000000953674,0.139500007033348,43,201,1459,0,153.420847109736,-27.4586351448593
5080070500,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.638899981975555,0.469199985265732,0.831399977207184,0.294299989938736,0,0.953499972820282,0.964299976825714,0,0.837800025939941,0.593800008296967,0.723800003528595,0.70440000295639,0.908900022506714,0,0.517799973487854,0,0.199000000953674,0.139500007033348,2,200,1427,0,153.397229247035,-27.8439115048411
5080070510,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676550000905991,0.453599989414215,0.741699993610382,0.359149992465973,0.216649994254112,0.930699974298477,0.906749993562698,0.240549996495247,0.774800002574921,0.604000002145767,0.656650006771088,0.639950007200241,0.824550002813339,0.183699995279312,0.492849990725517,0,0.0995000004768372,0.173650003969669,193,190,1441,1,153.252413005292,-27.9798993282253
5080070520,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0.638899981975555,0.469199985265732,0.831399977207184,0.294299989938736,0,0.953499972820282,0.964299976825714,0,0.837800025939941,0.593800008296967,0.723800003528595,0.70440000295639,0.908900022506714,0,0.517799973487854,0,0.199000000953674,0.139500007033348,9,200,1475,0,153.40672295793,-27.8929013182023
5080070540,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676550000905991,0.453599989414215,0.741699993610382,0.359149992465973,0.216649994254112,0.930699974298477,0.906749993562698,0.240549996495247,0.774800002574921,0.604000002145767,0.656650006771088,0.639950007200241,0.824550002813339,0.183699995279312,0.492849990725517,0,0.0995000004768372,0.173650003969669,195,189,1649,1,153.30824294456,-28.1017872704661
5080070550,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0.676550000905991,0.453599989414215,0.741699993610382,0.359149992465973,0.216649994254112,0.930699974298477,0.906749993562698,0.320733328660329,0.774800002574921,0.604000002145767,0.656650006771088,0.639950007200241,0.824550002813339,0.183699995279312,0.492849990725517,0,0.0995000004768372,0.173650003969669,98,194,1771,2,153.434125969255,-28.1792542676592
5080231790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.462299987673759,0.614500015974045,0.0130500001832843,0.112100001424551,0.626800000667572,0,0,0.186450004577637,0.55935001373291,0,0,0.327299997210503,0.208099998533726,0.0197000000625849,0,0,0.0314499996602535,0,17,267,1424,0,141.753290702344,-14.087584799919
5080233490,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.577325001358986,0.529249995946884,0.0926250023767352,0.263899998739362,0.549649998545647,0,0,0.191550001502037,0.394450005143881,0,0,0.422225002199411,0.209674996323884,0.124724995344877,0,0,0,0.13204999640584,73,259,1197,0,143.625501687058,-14.5667078127625
5080233500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.562649995088577,0.532500013709068,0.0408999994397163,0.236949995160103,0.549699991941452,0,0,0.194399997591972,0.391849994659424,0,0,0.430999994277954,0.261849991977215,0.0975499972701073,0,0,0,0.124049998819828,6,262,1188,0,143.965871809562,-14.534633980381
5080233760,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523699998855591,0.596400022506714,0.0408999994397163,0.214399993419647,0.620299994945526,0,0,0.194399997591972,0.420100003480911,0,0,0.473199993371964,0.275599986314774,0.195099994540215,0,0,0,0.248099997639656,69,260,1143,0,143.663082716739,-14.795028675689
5080254540,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.514299988746643,0,0,0,0,0,0,0.698300004005432,0,0,0,0.432099997997284,0,0,0,0,0,11,266,957,0,138.146248495975,-16.8115326102212
